'cello|виолончель|'tSelqu
mobility|мобильность|mqu'bIlItI
mobilize|мобилизовать|'mqubIlaIz
mock|насмехаться|mOk
modernize|модернизировать|'mOdqnaIz
modify|модифицировать|'mOdIfaI
momentum|импульс|mqu'mentqm
monetary|денежный|'mAnItqrI
monk|монах|mANk
monster|чудовище|'mOnstq
monthly|ежемесячный|'mAnTlI
monument|памятник|'mOnjumqnt
monumental|увековечивающий|,mOnju'mentl
mood|настроение|mu:d
moral|моральный|'mOrql
moreover|кроме того|mO:'rquvq
motel|мотель|mqu'tel
motive|повод, мотив|'mqutIv
motor|ехать на автомобиле|'mqutq
motor-cycle|мотоцикл|
motorship|теплоход|
mould|формовать|mquld
mourn|сетовать|mO:n
mouth|рот|mauT
mover|движущая сила|'mu:vq
movie|кинофильм|'mu:vI
mud|грязь|mAd
mug|грабить на улице|mAg
mugging|грабеж с насилием|'mAgIN
multilateral|многосторонний|'mAltI'lxtqrql
multiple|многократный|'mAltIpl
multiracial|многорасовый|
multitude|множество|'mAltItju:d
municipalization|муниципализация|
muscle|мускул|'mAsl
myriad|несметное число|'mIrIqd
mysterious|таинственный|mIs'tIqrIqs
mystery|тайна|'mIstqrI
myth|миф|mIT
naked|голый, обнаженный|'neIkId
namely|а именно|'neImlI
narrow|узкий|'nxrqu
natal|относящийся к рождению|'neItl
nation-wide|всенародный|
nationalism|национализм|'nxSnqlIzm
nationality|национальность|,nxSq'nxlItI
nationalization|национализация|,nxSnqlaI'zeISqn
nationalize|национализировать|'nxSnqlaIz
nationally|всенародно|'nxSnqlI
naturally|естественно|'nxtSrqlI
navigator|мореплаватель|'nxvIgeItq
needlework|шитье|'ni:dlwq:k
needy|нуждающийся|'ni:dI
negligence|небрежность|'neglIdZqns
neighbouring|соседний|'neIbqrIN
nerve|мужество|nq:v
nervous|нервный|'nq:vqs
nest|гнездо|nest
net|сеть|net
neurologist|невропатолог|njuq'rOlqdZIst
neurotic|невротический|njuq'rOtIk
neutral|нейтральный|'nju:trql
neutrality|нейтралитет|nju(:)'trxlItI
newcomer|новичок|
newmarket|длинное пальто в талию|'nju:,mQ:kIt
newsletter|новости|
newsman|газетчик|
next|затем, после, рядом с, около|nekst
nicely|хорошо|'naIslI
nightingale|соловей|'naItINgeIl
nightly|ночью|'naItlI
nineteen|девятнадцать|'naIn'ti:n
ninth|девятый|naInT
nitrogen|азот|'naItrqdZqn
nod|кивать|nOd
noise|шум|nOIz
nominal|номинальный|'nOmInl
nominate|выставлять кандидата|'nOmIneIt
non-nuclear|неядерный|'nOn'nju:klIq
non-union|непрофсоюзный|'nOn'ju:njqn
noon|полдень|nu:n
normalization|нормализация|,nO:mqlaI'zeISqn
north|к северу, на север|nO:T
nose|нос|nquz
notable|заметный|'nqutqbl
notably|исключительно|'nqutqblI
notion|понятие|'nquSqn
novel|роман|'nOvql
novelist|романист|'nOvqlIst
novice|новичок|'nOvIs
nowadays|в наше время|'nauqdeIz
nowhere|нигде, никуда|'nquwFq
nuclear-free|свободный от ядерного оружия|
nuisance|досада|'nju:sns
numerous|многочисленный|'nju:mqrqs
nylon|нейлон|'naIlqn
oak|дуб|quk
obey|подчиняться|q'beI
object|объект|'ObdZIkt
objective|объективный|qb'dZektIv
obligation|обязательство|,OblI'geISqn
oblige|обязывать|q'blaIdZ
obscene|непристойный|Ob'si:n
obscenity|непристойность|Ob'si:nItI
obsession|одержимость|qb'seSqn
obstacle|препятствие|'Obstqkl
obstruct|препятствовать|qb'strAkt
obtainable|доступный|qb'teInqbl
occasional|случайный|q'keIZqnl
occasionally|изредка|q'keIZnqlI
occupancy|занятие|'OkjupqnsI
occupant|житель|'Okjupqnt
offend|обижать|q'fend
offender|обидчик|q'fendq
offensive|наступление|q'fensIv
offering|предложение|'OfqrIN
officially|официально|q'fISqlI
offset|компенсировать|'Ofset
offshore|находящийся на расстоянии от берега|'Of'SO:
ominous|зловещий|'OmInqs
onto|на|'Ontu
opener|инструмент для открывания|'qupnq
openly|открыто|'qupnlI
operatic|оперный|,Opq'rxtIk
operational|операционный|,Opq'reISqnl
operative|действующий|'OpqrqtIv
opt|выбирать|Opt
option|выбор|'OpSqn
orbit|орбита|'O:bIt
orbital|орбитальный|'O:bItl
orchestral|оркестровый|O:'kestrql
ordinarily|обычно|'O:dnrIlI
ore|руда|O:
organized|организованный|'O:gqnaIzd
origin|источник|'OrIdZIn
originally|первоначально|q'rIdZInqlI
originate|давать начало|q'rIdZIneIt
orthodox|ортодоксальный|'O:TqdOks
other|в сочетании|'ADq
ours|наш|'auqz
ourselves|себя|,auq'selvz
ouster|выселение|'austq
outbreak|взрыв|'autbreIk
outburst|вспышка|'autbq:st
outdoor|находящийся на открытом воздухе|'autdO:
outer|внешний|'autq
outfield|дальняя часть поля|'autfi:ld
outgo|превосходить|'autgqu
outlet|выходное отверстие|'autlet
outline|очерк, эскиз, обрисовать|'autlaIn
outlook|перспектива|'autluk
outrage|преступать закон|'autreIdZ
outrageous|неистовый|aut'reIdZqs
outright|прямо|'autraIt
outset|начало|'autset
outside|наружная сторона, вне, кроме|'aut'saId
outsider|аутсайдер|'aut'saIdq
ovation|овация|qu'veISqn
overlap|перекрывать|,quvq'lxp
overload|перегружать|'quvq'lqud
overtake|догонять|'quvq'teIk
overthrow|свергать|,quvq'Trqu
overwhelm|преодолеть|,quvq'welm
overwhelmingly|чрезвычайно|,quvq'welmINlI
owe|быть должным|qu
owing|должный|'quIN
p.m.|после полудня|
packet|пакет|'pxkIt
pagoda|пагода|pq'gqudq
pain|боль|peIn
painful|болезненный|'peInful
pairing|сочетание|
pale|бледный|peIl
palm|ладонь|pQ:m
pamphlet|памфлет|'pxmflIt
pan|сковорода|pxn
pancake|блин|'pxnkeIk
panic|паника|'pxnIk
parachute|парашют|'pxrqSu:t
parade|строить|pq'reId
paradise|галерка|'pxrqdaIs
paradox|парадокс|'pxrqdOks
paragraph|параграф|'pxrqgrQ:f
parallel|параллельный|'pxrqlel
parcel|пакет|'pQ:sl
parish|церковный приход|'pxrIS
parity|равенство|'pxrItI
park|парк, парковать|pQ:k
parking|стоянка автомашин|'pQ:kIN
parkway|аллея|'pQ:kweI
parliamentarian|парламентарий|,pQ:lqmen'tFqrIqn
partial|частичный|'pQ:Sql
partition|разделение|pQ:'tISqn
partnership|участие|'pQ:tnqSIp
passing|прохождение|'pQ:sIN
passion|страсть|'pxSqn
passionate|страстный|'pxSqnIt
passionately|страстно|
passport|паспорт|'pQ:spO:t
past|за, после|pQ:st
pat|хлопок|pxt
patch|заплата|pxtS
path|путь|pQ:T
patient|терпеливый|'peISqnt
patriarch|патриарх|'peItrIQ:k
patrol|патруль|pq'trqul
pause|пауза|pO:z
pave|мостить|peIv
pavement|тротуар|'peIvmqnt
pavilion|павильон|pq'vIljqn
payable|подлежащий оплате|'peIqbl
paying|платеж|'peIIN
peacefully|мирно|
peach|персик|pi:tS
peanut|арахис|'pi:nAt
pear|груша|pFq
pearl|жемчуг|pq:l
peasant|крестьянин|'pezqnt
peculiar|особенный|pI'kju:ljq
peddler|разносчик|'pedlq
peer|пэр|pIq
penny|пенни|'penI
perfect|совершенный|'pq:fIkt
perfectly|совершенно|'pq:fIktlI
peril|опасность|'perIl
periodic|периодический|,pq:raI'OdIk
permanently|постоянно|'pq:mqnqntlI
permissible|допустимый|pq'mIsqbl
persecution|преследование|,pq:sI'kju:Sqn
persist|упорствовать|pq'sIst
persistent|настойчивый|pq'sIstqnt
persistently|настойчиво|
personally|лично|'pq:snqlI
perspective|перспектива, перспективный|pq'spektIv
pessimism|пессимизм|'pesImIzm
petroleum|нефть|pI'trquljqm
phase|фаза, фазировать|feIz
philharmonic|филармония|,fIlQ:'mOnIk
philosophical|философский|,fIlq'sOfIkql
phone|телефон, звонить по телефону|fqun
photograph|фотография, фотографировать|'fqutqgrQ:f
photographer|фотограф|fq'tOgrqfq
photographic|фотографический|,fqutq'grxfIk
physical|физический|'fIzIkql
physically|физически|'fIzIk(q)lI
physician|врач|fI'zISqn
piano|фортепьяно|'pjQ:nqu
picnic|пикник|'pIknIk
pier|пирс, устой|pIq
pierce|пронзать|pIqs
pig|свинья|pIg
pile|кипа, куча, складывать|paIl
pill|пилюля|pIl
pint|пинта|paInt
pipe|труба|paIp
pistol|пистолет|'pIstl
pitch|бросок, уровень, сооружать|pItS
pitcher|подающий|'pItSq
pity|жалость|'pItI
placard|афиша|'plxkQ:d
plain|равнина, понятный|pleIn
plaint|жаловаться|pleInt
plaintiff|истец|'pleIntIf
plane|парить|pleIn
planet|планета|'plxnIt
plant|сажать|plQ:nt
planting|плантация|
plasma|плазма|'plxzmq
plaster|пластырь|'plQ:stq
plateau|плато|'plxtqu
platform|платформа|'plxtfO:m
platitude|банальность|'plxtItju:d
playwright|драматург|'pleIraIt
plea|просьба|pli:
pleasant|приятный|'pleznt
plenary|неограниченный|'pli:nqrI
plenum|пленум|'pli:nqm
plot|составлять план|plOt
plough|пахать|plau
plunge|нырять|plAndZ
pocket|карман|'pOkIt
poem|поэма|'pquIm
poetry|поэзия, стихи|'pquItrI
poise|уравновешивать|pOIz
poison|яд, отравлять|'pOIzn
polish|полировать|'pqulIS
polite|вежливый|pq'laIt
politic|политичный|'pOlItIk
politician|политик|,pOlI'tISqn
poll|проводить согласование|pOl
pollution|загрязнение|pq'lu:Sqn
polytechnic|политехнический институт|,pOlI'teknIk
pond|пруд|pOnd
pool|общий фонд|pu:l
pop|в стиле "поп"|pOp
popularity|популярность|,pOpju'lxrItI
porcelain|фарфор|'pO:sqlIn
porter|швейцар|'pO:tq
portion|часть, доля|'pO:Sqn
possession|владение|pq'zeSqn
post|отправлять по почте|pqust
post-war|послевоенный|
poster|рекламировать|'pqustq
potato|картофель|pq'teItqu
potentially|потенциально|pqu'tenSqlI
poultry|домашняя птица|'pqultrI
pounce|налетать|pauns
pour|лить|pO:
powder|порошок|'paudq
power|снабжать силовым двигателем|'pauq
powerfully|сильно|
practicable|осуществимый|'prxktIkqbl
practically|практический|'prxktIkqlI
practise|практиковать|'prxktIs
prairie|прерия|'prFqrI
pray|молить|preI
preach|проповедовать|pri:tS
precarious|ненадежный|prI'kFqrIqs
precaution|предосторожность|prI'kO:Sqn
precede|предшествовать|prI(:)'si:d
precedent|прецедент|prI'si:dqnt
precisely|точно|prI'saIslI
precision|точность|prI'sIZqn
predecessor|предшественник|'pri:dIsesq
prejudice|предубеждение|'predZudIs
preliminary|предварительный|prI'lImInqrI
prelude|вступление|'prelju:d
premature|преждевременный|,premq'tjuq
prematurely|преждевременно|
premiere|премьера|'premIFq
premise|предпосылка|prI'maIz
preparatory|подготовительный|prI'pxrqtqrI
prepared|готовый|prI'pFqd
preponderant|преобладающий|prI'pOndqrqnt
prescribe|предписывать|prIs'kraIb
presentation|предъявление|,prezen'teISqn
preside|председательствовать|prI'zaId
presidency|президентство|'prezIdqnsI
presidential|президентский|,prezI'denSql
presidium|президиум|prI'sIdIqm
presumably|возможно|prI'zju:mqblI
presume|предполагать|prI'zju:m
pretend|использовать в качестве предлога|prI'tend
pretext|предлог|'pri:tekst
pretty|довольно|'prItI
prevention|предотвращение|prI'venSqn
preview|предварительный показ кинофильма|'pri:vju:
prewar|довоенный|
prey|жертва|preI
price|цена, оценивать|praIs
pride|гордость|praId
priest|священник|pri:st
primate|архиепископ|'praImIt
primitive|примитивный|'prImItIv
principally|главным образом|'prInsqpqlI
printer|типограф|'prIntq
prior|прежний|'praIq
priority|приоритет|praI'OrItI
privacy|уединенность|'prIvqsI
privately|конфиденциально|'praIvItlI
privilege|привилегия|'prIvIlIdZ
probability|вероятность|,prObq'bIlItI
probable|вероятный|'prObqbl
probe|зонд|prqub
process|обрабатывать|'prquses
productive|производительный|prq'dAktIv
professor|профессор|prq'fesq
profit|быть полезным|'prOfIt
programme|планировать|'prqugrxm
prohibit|запрещать|prq'hIbIt
prohibition|запрещение|,prquI'bISqn
prolong|продлевать|prqu'lON
promising|многообещающий|'prOmIsIN
promoter|покровитель|prq'mqutq
promptly|быстро|'prOmptlI
prone|склонный|prqun
pronounce|произносить|prq'nauns
proof|доказательство|pru:f
propagation|распространение|,prOpq'geISqn
proposition|предложение|,prOpq'zISqn
proprietor|владелец|prq'praIqtq
propulsion|движение вперед|prq'pAlSqn
prosecute|преследовать в судебном порядке|'prOsIkju:t
prosecutor|обвинитель|'prOsIkju:tq
prospect|исследовать|'prOspekt
prosperity|процветание|prOs'perItI
prosperous|преуспевающий|'prOspqrqs
protective|защитный|prq'tektIv
protestant|протестант|'prOtIstqnt
protester|участник кампании протеста|
prototype|прототип|'prqutqutaIp
proud|гордый|praud
proudly|гордо|'praudlI
provision|обеспечение|prq'vIZqn
provisionals|"временные"|
provocation|провокация|,prOvq'keISqn
provocative|провокационный|prq'vOkqtIv
psychological|психологический|,saIkq'lOdZIkql
psychology|психология|saI'kOlqdZI
pub|пивной бар|pAb
publishing|издательское дело|'pAblISIN
pulp|сенсационный рассказ|pAlp
punch|перфорировать|pAntS
punish|наказывать|'pAnIS
puppy|щенок|'pApI
purchaser|покупатель|'pq:tSqsq
pure|чистый|pjuq
purely|исключительно|'pjuqlI
purse|кошелек|pq:s
puzzle|озадачивать|'pAzl
quarrel|ссора|'kwOrql
quarterly|квартальный|'kwO:tqlI
question|спрашивать|'kwestSqn
queue|очередь|kju:
quintet|квинтет|kwIn'tet
quit|увольнение|kwIt
quota|квота|'kwqutq
quotation|цитата|kwqu'teISqn
quote|цитировать|kwqut
racialist|расист|'reISqlIst
racing|состязание в скорости|'reIsIN
rack|напрягать|rxk
racket|рэкет|'rxkIt
radar|радиолокатор|'reIdq
radical|радикал|'rxdIkql
radioactive|радиоактивный|'reIdIqu'xktIv
radioactivity|радиоактивность|'reIdIquxk'tIvItI
radius|радиус|'reIdjqs
raid|рейд|reId
railroad|железная дорога|'reIlrqud
railwayman|железнодорожник|
rainbow|радуга|'reInbqu
rainless|засушливый|'reInlIs
raised|рельефный|reIzd
raising|выращивание|
rally|собирать|'rxlI
ranger|скиталец|'reIndZq
rape|насиловать|reIp
rapid|быстрый|'rxpId
rare|резкий|rFq
rarely|редко|'rFqlI
rate|оценивать|reIt
ratepayer|налогоплательщик|'reIt,peIq
ratify|ратифицировать|'rxtIfaI
ration|паек|'rxSqn
rational|рациональный|'rxSqnl
rationalization|рационализация|,rxSnqlaI'zeISqn
re-equip|переоборудовать|
re-establish|восстанавливать|
re-examine|вновь исследовать|
react|реагировать|rI(:)'xkt
reactionary|реакционер, реакционный|rI(:)'xkSnqrI
reactor|реактор|rI(:)'xktq
read|чтение|ri:d
readily|охотно|'redIlI
readiness|находчивость|'redInIs
realization|реализация|,rIqlaI'zeISqn
rear|задний|rIq
reason|рассуждать|'ri:zn
reasonably|разумно|'ri:znqblI
reassign|вновь назначать|
reassure|заверять|,ri:q'Suq
rebate|сокращать|'ri:beIt
rebellion|восстание|rI'beljqn
recapture|взять обратно|'ri:'kxptSq
receipt|расписка|rI'si:t
receiver|получатель|rI'si:vq
reception|прием|rI'sepSqn
recess|перерыв в работе|rI'ses
recession|уход|rI'seSqn
recipe|рецепт|'resIpI
recipient|получатель|rI'sIpIqnt
reckon|считать|'rekqn
reconciliation|примирение|,rekqnsIlI'eISqn
reconsider|пересматривать|'ri:kqn'sIdq
reconstruction|реконструкция|'ri:kqns'trAkSqn
recorder|регистратор|rI'kO:dq
recording|регистрация|rI'kO:dIN
recover|выздоравливать|'ri:'kAvq
recreation|воссоздание|'ri:krI'eISqn
recruitment|вербовка|rI'kru:tmqnt
rector|ректор|'rektq
redistribution|перераспределение|'ri:,dIstrI'bju:Sqn
redouble|усиливать|rI'dAbl
redress|исправлять|rI'dres
redundancy|избыток|rI'dAndqnsI
referee|рефери|,refq'ri:
referendum|референдум|,refq'rendqm
refine|очищать|rI'faIn
reflation|новая инфляция|
reflecting|отражающий|
reformism|реформизм|
refuge|убежище|'refju:dZ
refund|возмещать убытки|ri:'fAnd
regain|вновь приобрести|rI'geIn
regard|внимание|rI'gQ:d
regent|регент|'ri:dZqnt
regiment|полк|'redZImqnt
regret|сожаление|rI'gret
rehabilitation|реабилитация|'ri:q,bIlI'teISqn
rehearsal|репетиция|rI'hq:sql
rehouse|переселять в новые дома|'ri:'haus
reign|царствовать|reIn
reinforce|усиливать|,ri:In'fO:s
reinstate|восстанавливать|'ri:In'steIt
reiterate|повторять|ri:'ItqreIt
rejection|отказ|rI'dZekSqn
relative|родственник|'relqtIv
relax|ослаблять|rI'lxks
relay|смена|rI'leI
released|освобожденный|
relegation|высылка|,relI'geISqn
relevant|имеющий отношение|'relIvqnt
reliable|надежный|rI'laIqbl
relieve|облегчать|rI'li:v
religion|религия|rI'lIdZqn
reluctance|неохота|rI'lAktqns
reluctant|делающий с неохотой|rI'lAktqnt
reluctantly|неохотно|rI'lAktqntlI
rely|полагаться|rI'laI
remainder|остаток|rI'meIndq
remand|отчислять|rI'mQ:nd
remark|замечание, замечать|'rI'mQ:k
remarkably|замечательно|rI'mQ:kqblI
remedy|средство|'remIdI
renaissance|возрождение|rq'neIsqns
render|отдавать|'rendq
rendezvous|свидание|'rOndIvu:
renewal|обновление|rI'nju(:)ql
rent|сдавать внаем|rent
rental|сумма арендной платы|'rentl
reopen|возобновлять|'ri:'qupqn
reorganization|реорганизация|'ri:,O:gqnaI'zeISqn
repay|оплачивать|'ri:'peI
repeal|аннулирование|rI'pi:l
repertoire|репертуар|'repqtwQ:
repetition|повторение|,repI'tISqn
replacement|замещение|rI'pleIsmqnt
reported|сообщенный|rI'pO:tId
reprint|переиздание|'ri:'prInt
reproduction|воспроизведение|,ri:prq'dAkSqn
repudiation|отрицание|rI,pju:dI'eISqn
reputation|репутация|,repju(:)'teISqn
resale|перепродажа|'ri:'seIl
rescuer|спаситель|'reskjuq
reselection|повторный отбор|
resemble|походить|rI'zembl
reservist|резервист|rI'zq:vIst
reservoir|резервуар|'rezqvwQ:
residence|резиденция|'rezIdqns
residential|жилой|,rezI'denSql
resist|сопротивляться|rI'zIst
respective|соответственный|rIs'pektIv
respectively|соответственно|rIs'pektIvlI
respond|отвечать|rIs'pOnd
rest|оставаться|rest
restoration|реставрация|,restq'reISqn
restrain|сдерживать|rIs'treIn
restrictive|ограничительный|rIs'trIktIv
resumption|возвращение|rI'zAmpSqn
retail|розничная продажа|ri:'teIl
retaliation|возмездие|rI,txlI'eISqn
retard|задерживать|rI'tQ:d
retention|удерживание|rI'tenSqn
retired|отставной|rI'taIqd
retiring|скромный|rI'taIqrIN
reunification|воссоединение|
revelation|открытие|,revI'leISqn
revenge|реванш|rI'vendZ
reversal|полное изменение|rI'vq:sql
revert|возвращаться|rI'vq:t
revision|пересмотр|rI'vIZqn
revive|оживать|rI'vaIv
revolt|восстать|rI'vqult
rheumatic|ревматический|ru(:)'mxtIk
rheumatism|ревматизм|'ru:mqtIzm
rhythm|ритм|'rIDqm
rib|ребро|rIb
rice|рис|raIs
ride|ехать верхом|raId
rider|всадник|'raIdq
ridge|хребет|rIdZ
ridiculous|смешной|rI'dIkjulqs
ridiculously|смешно|
rifle|винтовка|'raIfl
righthander|удар правой|'raIt,hxndq
rightly|справедливо|'raItlI
rigid|жесткий|'rIdZId
rigorous|суровый|'rIgqrqs
rioter|мятежник|'raIqtq
rip|рвать|rIp
ripe|спелый|raIp
rising|возрастающий|'raIzIN
rivalry|соперничество|'raIvqlrI
roar|реветь|rO:
rob|грабить|rOb
robber|грабитель|'rObq
roll|рулон, катить|rqul
romantic|романтичный|reu'mxntIk
romp|возиться|rOmp
rookie|новичок|'rukI
rope|привязывать|'rqups'end
rotation|вращение|rqu'teISqn
rough|неровный|rAf
round|округлять|raund
roundsman|торговый агент|'raundzmxn
routine|рутина|ru:'ti:n
royalist|реалист|'rOIqlIst
royalty|королевская власть|'rOIqltI
rubber|резина|'rAbq
rug|ковер|rAg
ruin|гибель|ruIn
ruler|правитель|'ru:lq
ruling|управление|'ru:lIN
rumour|слух|'ru:mq
runner|бегун|'rAnq
runner-up|участник состязания|
running|пробег, бегущий|'rAnIN
rural|сельский|'ruqrql
rush|натиск, бросаться|rAS
rye|рожь|raI
sack|мешок|sxk
sacking|увольнение|'sxkIN
sacrifice|жертва, приносить в жертву|'sxkrIfaIs
sad|печальный|sxd
saddle|седло|'sxdl
sadly|печально|
saga|сага|'sQ:gq
sail|плавать|seIl
sailor|моряк|'seIlq
saint|святой|seInt
saint (St.)|святой|
salad|салат|'sxlqd
salary|зарплата|'sxlqrI
salesman|продавец|'seIlzmqn
salute|приветствовать|sq'lu:t
salvation|спасение|sxl'veISqn
sample|образец|'sQ:mpl
sanction|санкция|'sxNkSqn
sand|песок|sxnd
sandwich|бутерброд|'sxnwIdZ
sandy|песчаный|'sxndI
sanitary|санитарный|'sxnItqrI
satellite|спутник|'sxtqlaIt
satin|атлас|'sxtIn
satirical|сатирический|sq'tIrIkql
satisfactorily|удовлетворительно|,sxtIs'fxktqrqlI
sausage|колбаса|'sOsIdZ
savage|дикий|'sxvIdZ
savagely|свирепо|
scarce|скудный|skFqs
scarcely|едва|'skFqslI
scare|паника|skFq
scarf|шарф|skQ:f
scatter|рассеивать|'skxtq
scholarship|эрудиция|'skOlqSIp
scientific|научный|,saIqn'tIfIk
scope|пределы|skqup
scorer|счетчик очков|'skO:rq
scout|разведчик, разведывать|skaut
scrap|выбрасывать|skrxp
scratch|царапать|skrxtS
scream|кричать|skri:m
scrip|временная акция|skrIp
script|рукопись|skrIpt
scrub|тереть|skrAb
scrutiny|тщательный осмотр|'skru:tInI
sculpture|скульптура|'skAlptSq
seal|ставить печать|si:l
seaside|побережье|'si:'saId
seasonal|сезонный|'si:zqnl
second|секунда|'sekqnd
second-hand|подержанный|
secondary|вторичный|'sekqndqrI
secondly|во-вторых|'sekqndlI
sect|секта|sekt
secure|спокойный|sI'kjuq
sedate|спокойный|sI'deIt
seemingly|на вид|'si:mINlI
seldom|редко|'seldqm
selective|отборный|sI'lektIv
selector|отборщик|sI'lektq
seller|торговец|'selq
selling|продажа|
semi-skilled|низкой квалификации|
semifinal|полуфинал|'semI'faInl
seniority|старшинство|,si:nI'OrItI
sensation|чувство|sen'seISqn
sensitive|чувствительный|'sensItIv
separately|сепаратно|
separation|отделение|,sepq'reISqn
sequence|последовательность|'si:kwqns
sergeant|сержант|'sQ:dZqnt
sermon|проповедь|'sq:mqn
serving|порция|
seventeen|семнадцать|'sevn'ti:n
seventy|семьдесят|'sevntI
severely|строго|sI'vIqlI
sew|шить|sju:
shade|тень|SeId
shadow|тень|'Sxdqu
shake|трясти|SeIk
shame|стыд|SeIm
shape|форма, придавать форму|SeIp
shatter|разбить|'Sxtq
shave|брить|SeIv
sheer|настоящий|SIq
shell|снаряд|Sel
shelter|убежище|'Seltq
shepherd|пастух|'Sepqd
shield|защита|Si:ld
shilling|шиллинг|'SIlIN
shine|свет, светить|SaIn
shipowner|судовладелец|'SIp,qunq
shipyard|верфь|'SIpjQ:d
shocking|потрясающий|'SOkIN
shopping|посещение магазина с целью покупки|'SOpIN
shorten|сокращать|'SO:tn
shot-gun|дробовик|
shoulder|плечо|'Squldq
shower|ливень|'Squq
shrine|сохранять|SraIn
shrug|пожимать|SrAg
shy|пугливый|SaI
sick|больной|sIk
sicken|заболевать|'sIkn
sickness|болезнь|'sIknIs
side|боковой, быть на чьей-либо стороне|saId
side-effect|побочный эффект|
sidewalk|тротуар|'saIdwO:k
siege|осада|si:dZ
signal|сигнал|'sIgnl
signatory|сторона|'sIgnqtqrI
signature|подпись|'sIgnItSq
significantly|значительно|
signor|синьор|
silence|молчание|'saIlqns
silo|силосная яма|'saIlqu
similarly|также|'sImIlqlI
simplification|прощение|,sImplIfI'keISqn
simulate|симулировать|'sImjuleIt
simulator|симулянт|'sImjuleItq
simultaneously|одновременно|
single|определять|'sINLgl
sinister|зловещий|'sInIstq
sink|тонуть|sINk
sinking|погружение|'sINkIN
sister|сестра|'sIstq
sit-in|сидячая забастовка|
sixteen|шестнадцать|'sIks'ti:n
sixty|шестьдесят|'sIkstI
sizeable|значительных размеров|
sketch|эскиз|sketS
skipper|шкипер|'skIpq
skirt|юбка|skq:t
sky-scraper|небоскреб|'skaI,skreIpq
slab|плита|slxb
slack|слабый|slxk
slam|хлопанье|slxm
slap|хлопать|slxp
slash|рубить|slxS
slavery|рабство|'sleIvqrI
sleeve|рукав|sli:v
slice|ломоть|slaIs
slide|скользить|slaId
slim|стройный|slIm
slope|наклон|slqup
small-scale|небольшого масштаба|
smart|резкий|smQ:t
smartly|ловко|
smile|улыбаться|smaIl
smoker|курильщик|'smqukq
smoking|курение|
smooth|сглаживание|smu:D
smuggle|заниматься контрабандой|'smAgl
snap|щелкать|snxp
snatch|хватать|snxtS
snowdrop|подснежник|'snqudrOp
soap|мыло|squp
soar|резко подниматься|sO:
socially|социально|'squSqlI
soft|мягкий|sOft
soil|почва|sOIl
solicitor|адвокат|sq'lIsItq
solo|соло|'squlqu
soloist|солист|'squlquIst
somehow|как-нибудь|'sAmhau
something|примерно|'sAmTIN
sometime|когда-нибудь|'sAmtaIm
somewhere|где-то|'sAmwFq
sonny|сынок|'sAnI
sophisticated|сложный|sq'fIstIkeItId
sore|рана|sO:
sort|сортировать|sO:t
sovereign|суверенный|'sOvrIn
sovereignty|суверенитет|'sOvrqntI
soybean|соя|
spacecraft|космический корабль|'speIskrQ:ft
span|интервал|spxn
spare|запасная часть, запасной, беречь|spFq
sparrow|воробей|'spxrqu
specialist|специалист|'speSqlIst
specialize|специализировать|'speSqlaIz
specially|особенно|'speSqlI
species|порода|'spi:Si:z
specify|указывать|'spesIfaI
specimen|образец|'spesImIn
spectacular|эффектный|spek'txkjulq
speed|спешить|spi:d
speedily|быстро|'spi:dIlI
speedway|спидвей|'spi:dweI
sphere|сфера|sfIq
spice|специя|spaIs
spinage|шпинат|
spirited|живой|'spIrItId
spiritual|духовный|'spIrItjuql
splendid|великолепный|'splendId
spoil|портить|spO:Il
sponsorship|попечительство|
spontaneously|спонтанно|
sporting|спортивный|'spO:tIN
squad|команда|skwOd
squadron|эскадрон|'skwOdrqn
square|выпрямлять|skwFq
stability|устойчивость|stq'bIlItI
stagger|шатание, шатать|'stxgq
stamp|штамп|stxmp
stance|поза|stxns
standardize|стандартизировать|'stxndqdaIz
standing|стоящий|'stxndIN
standpoint|точка зрения|'stxndpOInt
standstill|застой|'stxndstIl
starter|стартер|'stQ:tq
station|помещать|'steISqn
statistical|статистический|stq'tIstIkql
stature|рост|,stxtSq
statutory|установленный законом|'stxtjutqrI
steadily|неуклонно|'stedIlI
steam|пар|sti:m
steep|крутой|sti:p
steer|править|stIq
stepmother|мачеха|'step,mADq
stern|строгий|stq:n
stick|палка, втыкать|stIk
stimulate|побуждать|'stImjuleIt
stir|шевелить|stq:
stock-pot|кастрюлька для мясного бульона|
stockpile|запас|'stOkpaIl
stomach|желудок|'stAmqk
storage|хранение|'stO:rIdZ
store|снабжать|stO:
stormy|бурный|'stO:mI
straight|прямо|streIt
straightforward|прямой|streIt'fO:wqd
strangely|странным образом|
strangle|задушить|'strxNgl
straw|солома|strO:
strawberry|земляника|'strO:bqrI
stream|поток, течь|stri:m
strict|точно|strIkt
strictly|строго|'strIktlI
striker|забастовщик|'straIkq
string|веревка|strIN
strip|полоса|strIp
strontium|стронций|'strOnSjqm
studio|студия|'stju:dIqu
studious|прилежный|'stju:djqs
stuff|вещество, набивать|stAf
stumble|спотыкаться|'stAmbl
stump|пень|stAmp
stun|оглушать|stAn
subcontractor|субподрядчик|
subject|подчиненный|'sAbdZIkt
submission|подчинение|sqb'mISqn
subscription|подписание|sqb'skrIpSqn
subsequent|последующий|'sAbsIkwqnt
subsequently|впоследствии|'sAbsIkwqntlI
substance|вещество|'sAbstqns
